n,word,transcription,translate
247,rattle,['rætl],трещать\ греметь\ грохотать\ треск\ грохот\ погремушка\ трещотка
248,cradle,['kreidl],колыбель\ убаюкивать
249,infant,['infənt],младенец
250,mason,['meisn],каменщик
251,foreman,['fɔ:mən],мастер\ старшийрабочий\ техник\ прораб
252,nostril,['nɔstril],ноздря
253,calf,[kɑ:f],слоненок\ теленок\ молодойкит
254,people,[pi:pl],люди
255,sadness,['sædnis],печаль
256,joy,[ʤɔi],радость
257,happiness,['hæpinis],счастье
258,feeling,['fi:liŋ],чувство\ чувствующий(отfeel)
259,love,[lʌv],любовь\ любить
260,hate,[heit],ненавидеть
261,indifference,[in'difrəns],безразличие
262,surprise,[sə'praiz],удивление\ удивлять
263,anger,['æŋgə],гнев\ злость
264,fright,[frait],испуг
265,laughter,['lɑ:ftə],смех\ хохот
266,black,[blæk],черный
267,sympathy,['simpəθi],симпатия\ сострадание
268,fear,[fiə],страх\ опасение\ бояться\ опасаться
269,tenderness,['tendənis],нежность(!NEW!)
270,blue,[blu:],синий
271,brown,[braun],коричневый
272,gold,[gəuld],золото\ золотой
273,green,[gri:n],зеленый
274,grey,[grei],серый
275,pink,[piŋk],розовый
276,purple,['pə:pl],лиловый\ малиновый
277,red,[red],красный
278,silver,['silvə],серебро\ серебряный
279,white,[wait],белый
280,yellow,['jeləu],желтый
281,lid,[lid],крышка
282,towel,['tauəl],полотенце
283,refrigerator,[ri'friʤireitə],холодильник
284,cabinet,['kæbinet],кабинет(неparlour)
285,stove,[stəuv],печь\ плита
286,oven,[ʌvn],печь
287,faucet,['fɔ:sɪt],водопроводныйкран\ вентиль
288,pigeon,[piʤin],голубь
289,crow,[krəu],ворона
290,beak,[bi:k],клюв
291,eagle,['i:gl],орел
292,owl,[aul],сова
293,feather,['feðə],предметгордости\ достижение
294,robin,['rɔbin],малиновка
295,sparrow,['spærəu],воробей
296,ostrich,['ɔstriʧ],страус
297,egg,[eg],яйцо
298,parrot,['pærət],попугай
299,peacock,['pi:kɔk],павлин
300,Turkey,['tə:ki],индейка
301,chicken,['ʧikin],цыпленок\ кура
302,duck,[dʌk],утка
303,goose,[gu:s],гусь
304,swan,[swɔn],лебедь
305,stork,[stɔ:k],аист
306,nest,[nest],гнездо
307,swallow,['swɔləu],глотать\ проглатывать
308,crane,[krein],журавль\ подъемныйкран
309,sky,[skai],небо
310,sea,[si:],море\ океан
311,cliff,[klif],утес\ скала
312,beach,[bi:ʧ],пляж
313,crab,[kræb],краб
314,island,['ailənd],остров
315,lighthouse,['laithaus],маяк
